manifest_order	year	edition	configured_source	range_start	range_end	configured_range_kind	schema_regime	unit_multiplier	rotation_degrees	source_note	todo	manifest_row_status	selected_source_available	selected_source_type	selected_source_path	alternate_source_count	alternate_source_paths	output_token_file_count	output_page_count	invalid_row_note
66	1911	1	google	41	1261	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1911-1-google.pdf	0		1	1221	
67	1911	2	hathi	46	1359	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1911-2-hathi.pdf	0		1	1314	
68	1912	1				not_applicable	1911	1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
69	1912	2	google	46	1689	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1912-2-google.pdf	0		1	1644	
70	1913	1	google	52	1463	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1913-1-google.pdf	0		1	1412	
71	1913	2	google	46	1453	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1913-2-google.pdf	0		1	1408	
72	1914	1	other	48	1447	physical_pdf_page	1911	1	90		bad quality	configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1914-1-other.pdf	1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1914-1-hathi.pdf	1	1400	
73	1914	2	google	52	1489	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1914-2-google.pdf	0		1	1438	
74	1915	1	google	52	1539	physical_pdf_page	1911	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1915-1-google.pdf	0		1	1488	
75	1915	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder	doesnt have fed membership	configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1915-2-hathi.pdf	7	1378	
76	1916	1	google	45	1496	physical_pdf_page	1911	1	90		doesnt have fed membership	configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1916-1-google.pdf	0		1	1452	
77	1916	2	hathi	48	1585	physical_pdf_page	1911	1	90		doesnt have fed membership; hathi seems better	configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1916-2-hathi.pdf	0		1	1538	
78	1917	1	hathi	44	1613	physical_pdf_page	1911	1	90		doesnt have fed membership; requested another version from google books; current ones kinda suck	configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1917-1-hathi.pdf	2	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1917-1-google.pdf;/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1917-1-other.pdf	1	1570	
79	1917	2	fraser	2	12	multipart_pdf_position	1911	1	0	folder	doesnt have fed membership	configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1917-2-google.pdf	11	1524	
80	1918	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder	doesnt have fed membership	configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1918-1-google.pdf	7	1562	
81	1918	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder	doesnt have fed membership	configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1918-2-hathi.pdf	7	1584	
82	1919	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1919-1-google.pdf	7	1644	
83	1919	2	fraser	2	9	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1919-2-google.pdf	8	1686	
84	1920	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1920-1-google.pdf	7	1710	
85	1920	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1920-2-google.pdf	7	1773	
86	1921	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1921-1-hathi.pdf	7	1813	
87	1921	2	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1921-2-google.pdf	7	1840	
88	1922	1	fraser	2	8	multipart_pdf_position	1911	1	0	folder		configured	no	missing		1	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1922-1-google.pdf	7	1882	
